sID,conversation_id,message_id,user_query,dewey_match,response,routing,risk,risk_note,created_at,Accurate?,Notes,Expert review,Lang,coding_ID,primary_code,sec_codes,sent,bot_answer_rating,trust_flag,other_flags,original_coder_notes,risk_amt,risk_note_coders,mutiple_coders_flag,coding_stage,coding_time,sent_post,human_code,model_code
317,195240,1267174,How do I check my voter registration?,How do I check my voter registration?,"To check your voter registration in Pennsylvania, you can visit the ""https://www.pavoterservices.pa.gov/pages/voterregistrationstatus.aspx"" Department of State's website. There, you can look up your status by name or driver's license / PennDOT ID number. If you have questions or encounter problems, you can also call the Department of State's hotline at 1-877-VOTESPA.",exact,,,11/5/24 13:33,,,,en,,,,,,[],,,1,,,,,,,EL_Voter Reg
318,195238,1267172,"I'm a Democrat, but I want to vote for a Republican. Can I?","I'm a Democrat, but I want to vote for a Republican. Can I?","In Pennsylvania, registered voters may vote for candidates from any party in a general election, regardless of their  party affiliation. This means that as a Democrat, you can choose to vote for Republican candidates in the general election. However, this does not apply to primary elections.",exact,,,11/5/24 13:32,,,,en,,,,,,[],,,1,,,,,,,EL_Voter Reg
319,195238,1267170,"If Iâ€™m registered democrat, do I have to vote democrat?","I'm a Democrat, but I want to vote for a Republican. Can I?","<p>I'm checking to see if we're on the same page. Do any of these questions spark something?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">I'm a Democrat, but I want to vote for a Republican. Can I?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">I'm a Republican but I want to vote for a Democrat. Can I?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Does it really matter if I vote?</a></div>",suggestion,,,11/5/24 13:32,,,,it,,,,,,[],,,1,,,,,,,EL_Voter Reg
320,195239,1267168,My registration status says inactive can I go out and vote today,Can I vote if my registration is inactive?,"If your voter registration is marked as inactive, you can still vote. A voter is marked inactive if they have not voted for two consecutive federal election cycles and havenâ€™t responded to a county notice about their registration. If thatâ€™s your status, you can still vote on election day. Youâ€™ll just have to sign a form confirming your eligibility when you visit your polling place.",exact,,,11/5/24 13:32,,,,en,,,,,,[],,,1,,,,,,,EL_Voter Reg
321,195238,1267166,No,No,Sorry about that. Can you rephrase to ask your question again?,exact,,,11/5/24 13:32,,,,no,501,[M],[Non-Elect],,"[Exact, Accept]",[],,might be one involved in a larger convo?,0,,TRUE,1.1,1/21/2025 20:47:20,,M_Non-Elect,M_Non-Elect
322,195238,1267164,Do I have to vote for the party Iâ€™m registered for,Do I need to change parties before election day?,"<p>I'm checking to see if we're on the same page. Do any of these questions spark something?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">Do I need to change parties before election day?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Do I have to vote for everything on the ballot?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Do you have to vote in the county you live in?</a></div>",suggestion,,,11/5/24 13:31,,,,en,,,,,,[],,,1,,,,,,,EL_Voter Reg
323,195237,1267161,Can I vote in PA if I missed deadline to register?,Can I vote in PA if I missed deadline to register?,"If you missed the deadline to register to vote in Pennsylvania, you will not be able to vote in the upcoming election. The registration deadline was Oct. 21 for the Nov. 5, 2024 general election.",exact,,,11/5/24 13:30,,,,en,,,,,,[],,,1,,,,,,,EL_Voter Reg
324,195237,1267158,What are the voter registration requirements for college students in PA?,What are the voter registration requirements for college students in PA?,"In Pennsylvania, college students must meet the same voter registration requirements as other residents. They must be U.S. citizens for at least one month before the election, residents of their election district for at least 30 days before the election, and at least 18 years old on Election Day. Note, the deadline to register to vote for the Nov. 5 election was Oct. 21.",exact,,,11/5/24 13:30,,,,en,,,,,,[],,,1,,,,,,,EL_Voter Reg
325,195237,1267154,Can I vote in PA if I missed deadline to register?,Can I vote in PA if I missed deadline to register?,"If you missed the deadline to register to vote in Pennsylvania, you will not be able to vote in the upcoming election. The registration deadline was Oct. 21 for the Nov. 5, 2024 general election.",exact,,,11/5/24 13:29,,,,en,,,,,,[],,,1,,,,,,,EL_Voter Reg
326,195237,1267150,does pennsylvania have same day registration,When is the deadline to register to vote in Pennsylvania?,"<p>Let's make sure you get the resources you need. Do one of these questions resonate?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">What are the voter registration requirements for college students in PA?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">What are the key dates and deadlines for voter registration in Pennsylvania?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Can I vote in PA if I missed deadline to register?</a></div>",suggestion,,,11/5/24 13:29,,,,no,,,,,,[],,,1,,,,,,,EL_Voter Reg
327,195236,1267146,Bow far from a poll van a campaign soon be,How will pre-canvassing affect election results?,"<p>I'm checking to see if we're on the same page. Do any of these questions spark something?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">Where is my polling place?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">What is my polling location?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">How do I find my polling place?</a></div>",suggestion,,,11/5/24 13:27,,,,en,,,,,,[],,,1,,,,,,,M_Non-elect
328,195236,1267146,Bow far from a poll van a campaign soon be,Where is my polling place?,"<p>I'm checking to see if we're on the same page. Do any of these questions spark something?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">Where is my polling place?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">What is my polling location?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">How do I find my polling place?</a></div>",suggestion,,,11/5/24 13:27,,,,en,,,,,,[],,,1,,,,,,,M_Non-elect
329,195235,1267144,Can I vote if my registration is inactive,Can I vote if my registration is inactive?,"If your voter registration is marked as inactive, you can still vote. A voter is marked inactive if they have not voted for two consecutive federal election cycles and havenâ€™t responded to a county notice about their registration. If thatâ€™s your status, you can still vote on election day. Youâ€™ll just have to sign a form confirming your eligibility when you visit your polling place.",exact,,,11/5/24 13:26,,,,en,,,,,,[],,,1,,,,,,,EL_Voter Reg
330,195233,1267142,Que debo hacer al llegar?,Can I wait outside my polling place before it opens?,"<p>AsegurÃ©monos de que obtengas los recursos que necesitas. Â¿Resuena alguna de estas preguntas?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">Â¿Puedo esperar afuera de mi lugar de votaciÃ³n antes de que abra?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Â¿QuÃ© puedo esperar en el lugar de votaciÃ³n?</a></div>",suggestion,,,11/5/24 13:26,,,,es,,,,,,[],,,1,,,,,,,EL_Voting Req
331,195234,1267140,Where am I allowed to vote,How do I know where to vote?,"To find your polling place location in Pennsylvania, you can utilize the ""https://www.pavoterservices.pa.gov/Pages/PollingPlaceInfo.aspx"" Find Your Polling Place tool on the Department of State's website. By entering your home address, you can find the address of your polling location.",exact,,,11/5/24 13:26,,,,en,,,,,,[],,,1,,,,,,,EL_Voter Reg
332,195233,1267138,Â¿QuÃ© necesito llevar para votar?,What do I need to bring to vote?,"Si esta es ""https://www.pa.gov/en/agencies/vote/voter-support/new-voters.html"" la primera vez que vota o ""https://www.pa.gov/en/agencies/vote/voter-support/new-voters.html"" la primera vez que vota desde que cambiÃ³ de direcciÃ³n, deberÃ¡ traer una ""https://www.pa.gov/en/agencies/vote/voter-support/new-voters.html"" prueba de identificaciÃ³n. Esto puede incluir cualquier identificaciÃ³n emitida por el gobierno, como una licencia de conducir o pasaporte de EE. UU., un recibo de servicios pÃºblicos o extracto bancario que incluya su nombre y direcciÃ³n, o una identificaciÃ³n militar o de estudiante. Consulte la lista completa de opciones en el <a href=""https://www.pa.gov/en/agencies/vote.html"" sitio web del Departamento de Estado.",exact,,,11/5/24 13:25,,,,it,,,,,,[],,,1,,,,,,,EL_Voting Req
333,195233,1267136,Tengo que llevar algo ademÃ¡s de mi id?,What identification do I need to bring to vote in person?,"<p>Estoy verificando si estamos en la misma sintonÃ­a. Â¿Alguna de estas preguntas te resuena?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">Â¿QuÃ© identificaciÃ³n necesito llevar para votar en persona?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Â¿QuÃ© necesito llevar para votar?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Â¿QuÃ© pasa si olvido mi identificaciÃ³n en las urnas?</a></div>",suggestion,,,11/5/24 13:25,,,,es,,,,,,[],,,1,,,,,,,G_Fed Basic
334,195231,1267122,What are the statewide races in Pennsylvania?,What statewide races are happening in PA this year?,"Pennsylvanians statewide will vote in races for president, U.S. Senate, and row offices (attorney general, auditor general, and treasurer). In addition, all voters will see candidates for the U.S. House and Pennsylvania House. Depending on where they live, some voters will also see races for state Senate.",exact,,,11/5/24 13:24,,,,en,,,,,,[],,,1,,,,,,,G_State Basic
335,195230,1267118,Who is running for attorney general?,Who is running for attorney general?,"In the upcoming election for Pennsylvania attorney general, Democrat Eugene DePasquale and Republican Dave Sunday will face third-party candidates Robert Cowburn of the Libertarian Party, Justin L. Magill of the Constitution Party, Eric L. Settle of the Forward Party, and Richard L. Weiss of the Green Party. Take our ""https://www.spotlightpa.org/news/2024/10/pennsylvania-election-2024-attorney-general-candidates-quiz/"" PA attorney general candidate quiz  to see which major party candidate for Pennsylvania attorney general most closely aligns with what matters to you.",exact,,,11/5/24 13:23,,,,en,,,,,,[],,,1,,,,,,,G_State Basic
336,195229,1267110,Where can I find more information about the candidates and elections in Pennsylvania?,Where can I find more information about the candidates and elections in Pennsylvania?,"To learn about candidates, election administration, and other related topics, you can visit our ""https://www.spotlightpa.org/elections-2024/"" Election Center. We conduct in-depth reporting on Pennsylvania elections, and offer unbiased, factual information to help you make informed decisions. Our coverage includes candidate profiles, policy positions, and updates on the electoral process. You can also visit ""https://www.vote.pa.gov/Pages/default.aspx"" Pennsylvaniaâ€™s Department of State's website to register to vote, check your registration status, and find your polling place and local county board of elections.",exact,,,11/5/24 13:22,,,,en,,,,,,[],,,1,,,,,,,G_Elect Basic
337,195229,1267105,Tell me ab pa candidates voting history,How do I check my PA voter history?,"<p>I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">How do I check my PA voter history?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">What are we voting for in PA?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Where can I find more information about the candidates and elections in Pennsylvania?</a></div>",suggestion,,,11/5/24 13:22,,,,en,,,,,,[],,,1,,,,,,,P_Cand Comp
338,195225,1267095,why did i get 2 voter tegistration cards for just one person,Why are there two envelopes with my mail-in ballot?,"<p>I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">Why are there two envelopes with my mail-in ballot?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">I did not receive my voter registration card. Who should I contact?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">What do I do if I lose my voter registration card?</a></div>",suggestion,,,11/5/24 13:19,,,,en,,,,,,[],,,1,,,,,,,EL_Voter Reg
339,195226,1267091,can I bring a child,Can my minor child come with me to the voting booth?,"Yes, children can accompany a voter inside the polling place. Here's what Pennsylvania law states: â€œNotwithstanding any other provision of this act, an elector may permit his or her minor child or children to accompany him or her into the polling place and may permit one such minor child to accompany him or her into the voting compartment or voting machine booth.â€",exact,,,11/5/24 13:19,,,,en,,,,,,[],,,1,,,,,,,EL_Mail-in
340,195225,1267085,"i got 2 voter registration cards, is this normal",What do I do if I lose my voter registration card?,"<p>I'm checking to see if we're on the same page. Do any of these questions spark something?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">What do I do if I lose my voter registration card?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Why are there two envelopes with my mail-in ballot?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">I did not receive my voter registration card. Who should I contact?</a></div>",suggestion,,,11/5/24 13:18,,,,en,,,,,,[],,,1,,,,,,,EL_Mail-in
341,195225,1267083,what do i do if i received 2 voter registration cards after registering,What do I do if I lose my voter registration card?,"<p>Let's make sure you get the resources you need. Do one of these questions resonate?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">What do I do if I lose my voter registration card?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">I did not receive my voter registration card. Who should I contact?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">How do I check my voter registration?</a></div>",suggestion,,,11/5/24 13:18,,,,en,,,,,,[],,,1,,,,,,,EL_Voter Reg
342,195225,1267077,what if i received 2 voter registration cards,What do I do if I lose my voter registration card?,"<p>Let's make sure you get the resources you need. Do one of these questions resonate?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">What do I do if I lose my voter registration card?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">I did not receive my voter registration card. Who should I contact?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">What if I'm not registered to vote?</a></div>",suggestion,,,11/5/24 13:17,,,,en,,,,,,[],,,1,,,,,,,EL_Voter Reg
343,195224,1267073,What are the statewide races in Pennsylvania?,What statewide races are happening in PA this year?,"Pennsylvanians statewide will vote in races for president, U.S. Senate, and row offices (attorney general, auditor general, and treasurer). In addition, all voters will see candidates for the U.S. House and Pennsylvania House. Depending on where they live, some voters will also see races for state Senate.",exact,,,11/5/24 13:16,,,,en,,,,,,[],,,1,,,,,,,G_State Basic
344,195223,1267069,What are the statewide races in Pennsylvania?,What statewide races are happening in PA this year?,"Pennsylvanians statewide will vote in races for president, U.S. Senate, and row offices (attorney general, auditor general, and treasurer). In addition, all voters will see candidates for the U.S. House and Pennsylvania House. Depending on where they live, some voters will also see races for state Senate. ",exact,,,11/5/24 13:15,,,,en,,,,,,[],,,1,,,,,,,G_State Basic
345,195220,1267061,"If I didn't sign up for an absentee ballot but can't get to my polling place, how can I vote?","If I didn't sign up for an absentee ballot but can't get to my polling place, how can I vote?","If you've missed the deadline to request an absentee ballot and can't get to your polling place, you may be eligible for an ""https://www.pa.gov/en/agencies/vote/voter-support/mail-in-and-absentee-ballot/emergency-absentee-ballot.html"" Emergency Ballot. This type of ballot is for emergency situations only, such as an unexpected illness, disability, or last-minute absence from your municipality. You can ""https://www.vote.pa.gov/Resources/Documents/PADOS_EmergencyAbsenteeBallotApplication_English.pdf"" request an Emergency Absentee Ballot beginning at 5 p.m. the Tuesday before the election. The deadline to submit your Emergency Absentee Ballot Application to your county election board is 8 p.m. on Election Day. Additionally, if you are unable to pick up or return your emergency ballot, you can authorize a representative to do so on your behalf.",exact,,,11/5/24 13:13,,,,en,,,,,,[],,,1,,,,,,,EL_Mail-in
346,195220,1267059,Can I still vote for the presidential election if I am not in my voting district?,Can I vote on Election Day if I haven't registered yet?,"<p>Let's make sure you get the resources you need. Do one of these questions resonate?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">Can I vote on Election Day if I haven't registered yet?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">If I didn't sign up for an absentee ballot but can't get to my polling place, how can I vote?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Can I vote if Iâ€™m a resident of the US?</a></div>",suggestion,,,11/5/24 13:13,,,,en,,,,,,[],,,1,,,,,,,EL_Voter Reg
347,195219,1267057,How do I check my voter registration?,How do I check my voter registration?,"To check your voter registration in Pennsylvania, you can visit the ""https://www.pavoterservices.pa.gov/pages/voterregistrationstatus.aspx"" Department of State's website. There, you can look up your status by name or driver's license / PennDOT ID number. If you have questions or encounter problems, you can also call the Department of State's hotline at 1-877-VOTESPA.",exact,,,11/5/24 13:12,,,,en,,,,,,[],,,1,,,,,,,EL_Voter Reg
348,195215,1267032,Are there any amendments or questions on the ballot?,Are there any amendments or questions on the ballot?,"There are no statewide ballot measures in Pennsylvania for the upcoming election. However, some voters may encounter local questions on their ballots. It is advisable to check your ""https://www.pa.gov/en/agencies/vote/contact-us/contact-your-election-officials.html"" county's election website or your sample ballot to find specific races and candidates you will be voting for.",exact,,,11/5/24 13:09,,,,en,,,,,,[],,,1,,,,,,,P_St/Loc Prop
349,195217,1267030,What are the statewide races in Pennsylvania?,What statewide races are happening in PA this year?,"Pennsylvanians statewide will vote in races for president, U.S. Senate, and row offices (attorney general, auditor general, and treasurer). In addition, all voters will see candidates for the U.S. House and Pennsylvania House. Depending on where they live, some voters will also see races for state Senate.",exact,,,11/5/24 13:09,,,,en,,,,,,[],,,1,,,,,,,G_State Basic
350,195215,1267025,Will there be questions to be answered on the ballot today,Are there any amendments or questions on the ballot?,"<p>I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">Are there any amendments or questions on the ballot?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">What ballot questions will there be?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Are there any proposed constitutional amendments on the ballot?</a></div>",suggestion,,,11/5/24 13:09,,,,en,,,,,,[],,,1,,,,,,,G_Elect Basic
351,195214,1267023,who is running for attorney general,Who is running for PA attorney general?,"In the upcoming election for Pennsylvania attorney general, Democrat Eugene DePasquale and Republican Dave Sunday will face third-party candidates Robert Cowburn of the Libertarian Party, Justin L. Magill of the Constitution Party, Eric L. Settle of the Forward Party, and Richard L. Weiss of the Green Party. Take our ""https://www.spotlightpa.org/news/2024/10/pennsylvania-election-2024-attorney-general-candidates-quiz/"" PA attorney general candidate quiz to see which major party candidate for Pennsylvania attorney general most closely aligns with what matters to you.",exact,,,11/5/24 13:08,,,,en,,,,,,[],,,1,,,,,,,G_State Basic
352,195211,1267017,How do I learn more about a candidate's campaign platform?,How do I learn more about a candidate's campaign platform?,"To learn more about a candidate's campaign platform, you can visit their official campaign website, where they typically outline their key issues and policy positions. Additionally, attending candidate forums and reviewing interviews they have given to various news outlets can provide further insights into their platform. Our ""https://www.spotlightpa.org/elections-2024/"" Election Center also offers detailed guides on some candidates, which can help you understand their positions on important topics.",exact,,,11/5/24 13:06,,,,en,,,,,,[],,,1,,,,,,,P_Cand Pos
353,195211,1267015,"No, what is their platform",Where can I find candidate platforms and positions on key issues?,"<p>I'm checking to see if we're on the same page. Do any of these questions spark something?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">Where can I find candidate platforms and positions on key issues?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">How do I learn more about a candidate's campaign platform?</a></div>",suggestion,,,11/5/24 13:06,,,,en,,,,,,[],,,1,,,,,,,P_Cand Pos
354,195211,1267009,Pros and cons about Chris Deluzio and Rob Mercuri,Who is Christopher Deluzio?,"<p>I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">Who is Christopher Deluzio?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Who is Rob Mercuri?</a></div>",suggestion,,,11/5/24 13:06,,,,en,,,,,,[],,,1,,,,,,,P_Cand Pos
355,195209,1266999,How do I vote by mail?,How do I vote by mail?,"To vote by mail in Pennsylvania, you need to first apply for a mail-in ballot. The deadline to apply for a mail ballot for the Nov. 5 election was Oct. 29. If you already applied for and received your mail ballot, you have to complete it. Each mail ballot comes with instructions that voters must read carefully. The best way to ensure your vote counts is to follow the instructions on your mail ballot, especially when it comes to correctly dating your ballot. You must return your own ballot, unless you have officially ""https://www.pa.gov/content/dam/copapwp-pagov/en/vote/resources/documents-and-forms/Authorize-Designated-Agent-for-Mail-in-or-Absentee-Ballot.pdf"" designated another person to do so on your behalf. There are several methods for returning your ballot, but the most important thing to remember is that your county election board must receive your ballot by 8 p.m. on Election Day. If youâ€™re returning your ballot in person, using a drop box, or another designated location, ""https://www.pa.gov/en/agencies/vote/voter-support/mail-in-and-absentee-ballot/return-ballot.html"" you must use a location in your county. If you deliver your ballot to another county, it wonâ€™t be counted. After you return your ballot, you can track its status ""https://www.pavoterservices.pa.gov/pages/ballottracking.aspx"" online.",exact,,,11/5/24 13:04,,,,en,,,,,,[],,,1,,,,,,,EL_Mail-in
356,195208,1266998,I forgot to register,Can I vote if I forgot to register?,"You must be registered to vote in advance of Election Day in Pennsylvania; the state does not offer same-day registration. The deadline to register for the Nov. 5 general election was Oct. 21, 2024. If you did not register, you will not be able to vote.",exact,,,11/5/24 13:04,,,,no,,,,,,[],,,1,,,,,,,EL_Voter Reg
357,195207,1266996,Can I register to vote on election day,Can I vote on Election Day if I haven't registered yet?,"You cannot vote on Election Day in Pennsylvania if you have not registered to vote. To be eligible, you must register by the deadline, which was Oct. 21 for the Nov. 5 election.",exact,,,11/5/24 13:03,,,,en,,,,,,[],,,1,,,,,,,EL_Voter Reg
358,195206,1266988,Â¿CÃ³mo puedo solicitar una boleta de voto por correo?,How do I request a mail ballot?,"Puede solicitar una ""https://pa.gov/en/agencies/vote/recursos-en-espanol/voter-support-spanish/mail-and-absentee-ballot-spanish.html"" boleta por correo en Pensilvania en lÃ­nea en el ""https://www.pa.gov/en/agencies/vote.html"" sitio web del Departamento de Estado, en persona en la oficina electoral de su condado, o por correo. Las solicitudes para votar por correo en las elecciones generales de 2024 deben ser recibidas por la oficina electoral de su condado antes de las 5 p.m. del 29 de octubre. Debe proporcionar una identificaciÃ³n adecuada para solicitar una ""https://pa.gov/en/agencies/vote/recursos-en-espanol/voter-support-spanish/mail-and-absentee-ballot-spanish.html"" boleta por correo. Las opciones aceptables incluyen una licencia de conducir vÃ¡lida de Pensilvania o una tarjeta de identificaciÃ³n vÃ¡lida de PennDOT, o los Ãºltimos cuatro dÃ­gitos de un nÃºmero de Seguro Social. TambiÃ©n puede usar una identificaciÃ³n de empleado con foto de una instituciÃ³n pÃºblica o privada acreditada de Pensilvania, como un colegio o universidad. Para obtener una lista completa de las formas aprobadas de identificaciÃ³n, consulte el ""https://www.pa.gov/en/agencies/vote.html"" sitio web del Departamento de Estado. Puede solicitar una ""https://pa.gov/en/agencies/vote/recursos-en-espanol/voter-support-spanish/mail-and-absentee-ballot-spanish.html"" boleta por correo de una sola vez o ser agregado a la lista de solicitudes anuales, lo que significa que recibirÃ¡ una solicitud cada aÃ±o. Si encuentra algÃºn problema o tiene mÃ¡s preguntas, puede comunicarse con la lÃ­nea directa del Departamento de Estado al 1-877-VOTESPA para obtener asistencia.",exact,,,11/5/24 13:02,,,,es,,,,,,[],,,1,,,,,,,EL_Mail-in
359,195201,1266963,Can I vote in Pennsylvania if I'm a college student?,Can I vote in Pennsylvania if I'm a college student?,"Yes, as a ""https://www.pa.gov/en/agencies/vote/voter-support/college-students.html"" college student in Pennsylvania, you can register and vote if you meet the state's eligibility requirements. You can register at your college address, whether you live on or off campus, or at your prior home address, as long as you still have family or a guardian that resides there.",exact,,,11/5/24 12:57,,,,nl,,,,,,[],,,1,,,,,,,EL_Voter Reg
360,195201,1266961,I'm registered to vote in New York but live in Pennsylvania now. Can I vote in Pennsylvania,Can I vote in PA if I attend college here but am a resident in another state?,"<p>I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">Can I vote in PA if I attend college here but am a resident in another state?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Can I vote in PA if I missed deadline to register?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Can I vote in Pennsylvania if I'm a college student?</a></div>",suggestion,,,11/5/24 12:57,,,,en,,,,,,[],,,1,,,,,,,EL_Voter Reg
361,195199,1266943,What are the statewide races in Pennsylvania?,What statewide races are happening in PA this year?,"Pennsylvanians statewide will vote in races for president, U.S. Senate, and row offices (attorney general, auditor general, and treasurer). In addition, all voters will see candidates for the U.S. House and Pennsylvania House. Depending on where they live, some voters will also see races for state Senate.",exact,,,11/5/24 12:53,,,,en,,,,,,[],,,1,,,,,,,G_State Basic
362,195197,1266932,How do I fill out my ballot?,How do I fill out my ballot?,"To fill out your mai ballot in Pennsylvania, use blue or black ink and follow these key steps: First, complete your ballot by marking your choices clearly. Then, place the completed ballot in the inner ""secrecy"" envelope, which should not have any writing on it. Seal the inner envelope and place it inside the outer envelope. Finally, sign and date the declaration on the outer envelope. All mail ballots must be received by your county by 8 p.m. on Election Day. If you are voting in person and need assistance filling out your ballot, ask a poll worker at your polling place for assistance.",exact,,,11/5/24 12:51,,,,en,,,,,,[],,,1,,,,,,,EL_Mail-in
363,195197,1266930,Are you supposed to sign the ballot Ave filling in your vote,Do you sign your in person ballot?,"<p>Let's make sure you get the resources you need. Do one of these questions resonate?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">Do you sign your in person ballot?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">How do I fill out my ballot?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">What do I do if I signed my partner's ballot envelope by mistake?</a></div>",suggestion,,,11/5/24 12:51,,,,en,,,,,,[],,,1,,,,,,,EL_Mail-in
364,195196,1266925,How do I check my voter registration?,How do I check my voter registration?,"To check your voter registration in Pennsylvania, you can visit the ""https://www.pavoterservices.pa.gov/pages/voterregistrationstatus.aspx"" Department of State's website. There, you can look up your status by name or driver's license / PennDOT ID number. If you have questions or encounter problems, you can also call the Department of State's hotline at 1-877-VOTESPA.",exact,,,11/5/24 12:51,,,,en,,,,,,[],,,1,,,,,,,EL_Voter Reg
365,195193,1266913,Yes but is there a code,Is there a specific time I need to vote?,I'm sorry. It looks like I don't have an answer in our archives. I'll pass the question on to the Spotlight PA team as a topic for future reporting.,no_match,,,11/5/24 12:50,,,,en,483,[M],[Oth],,"[No Match, Approp]",[],,,0,,TRUE,1.1,1/21/2025 20:47:20,,M_Oth,EL_Other
366,195193,1266913,Yes but is there a code,What are the key challenges with Pennsylvania's Election Code?,I'm sorry. It looks like I don't have an answer in our archives. I'll pass the question on to the Spotlight PA team as a topic for future reporting.,no_match,,,11/5/24 12:50,,,,en,,,,,,[],,,1,,,,,,,EL_Other
367,195193,1266905,The code the states you much show is in pa,Do I need to show ID to vote in Pennsylvania?,"<p>I'm checking to see if we're on the same page. Do any of these questions spark something?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">Do I need to show ID to vote in Pennsylvania?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">What are the current voter ID requirements in Pennsylvania?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Do I need my voter card to vote in PA?</a></div>",suggestion,,,11/5/24 12:49,,,,en,,,,,,[],,,1,,,,,,,G_Local Basic
368,195192,1266901,What are the statewide races in Pennsylvania?,What statewide races are happening in PA this year?,"Pennsylvanians statewide will vote in races for president, U.S. Senate, and row offices (attorney general, auditor general, and treasurer). In addition, all voters will see candidates for the U.S. House and Pennsylvania House. Depending on where they live, some voters will also see races for state Senate.",exact,,,11/5/24 12:48,,,,en,,,,,,[],,,1,,,,,,,G_State Basic
369,195190,1266893,What time do polls close,When do the polls close?,"In Pennsylvania, the polls close at 8 p.m. on Election Day. If you are in line before or at the time the polls close, you will still be allowed to cast your vote. It's essential to plan your visit to the polling place accordingly to ensure you have enough time to vote.",exact,,,11/5/24 12:47,,,,en,,,,,,[],,,1,,,,,,,EL_Polling Loc/Time
370,195187,1266891,If you do not vote on election day will they still count your vote based on your registered party,Can I vote on Election Day if I haven't registered yet?,I'm sorry. It looks like I don't have an answer in our archives. I'll pass the question on to the Spotlight PA team as a topic for future reporting.,no_match,,,11/5/24 12:47,,,,en,,,,,,[],,,1,,,,,,,EL_Mail-in
